Name	Classes	Training set	Testing set	Length	1-NN EU	1-NN DTW	SAX-VSM	CV Error	CV Runtime
Lightning 2	2	60	61	637	0.246	0.131	 0.1967 (169,15,3,nored) 	 0.0666 	 9h50m 
Lightning 7	7	70	73	319	0.425	0.274	 0.3287 (97,17,3,nored) 	 0.1857 	 13h30m 
Wafer	2	1	6,174	152	0.005	0.020	 0.0010 (34,32,7,classic) 	 0.0000 	 11h34m 
Two Patterns	4	1	4	128	0.09	0.0	 0.0040 (107,12,3,nored) 	 0.002 	 12h20m 
Ford A	2	3,601	1,32	500	0.3182	0.484	 0.1272 (80,10,5,exact) 	 	 
Ford B	2	3,636	810	500	0.4086	0.495062	 0.2567 (80,10,5,exact) 	 	 
Chlorine Concentration	3	467	3840	166	0.35	0.352	 0.3341 (30,27,5,classic) 	 0.3019 	 8h37m 
Cricket	2	9	98	166	0.0511	0.0102	 0.0102 (165,10,4,exact)	 0.0 	 20s 
Cricket - NEW	2	9	98	166	0.4375	0.125	 0.2343 (165,10,4,exact)	 0.0 	 20s 
Sony AIBO walk	2	20	601	70	0.3045	0.2745	 0.2628 (54,4,16,exact) 	 0.05 	 30s 
!PassGraph 	2	69	131	364	0.3664	0.2824	 0.2824 (119,10,15,nored) 	 0.1014 	 1h22m 
Wheat Spectrography 	7	49	726	1050	0.44	0.457 	 0.1790 (130,50,10,nored) 	 0.1428 	 12h20m 
Projectile (Arrowhead) 	3	36	175	625``	0.32	0.32 	 0.3028 (113,11,3,classic) 	 0.1111 	 40m 
Shield 	3	30	129	1179	0.1395	0.1395 	 0.0772 (150,12,4,nored) 	 0.0 	 7h30m 
Mallat 	8	320	2080	256	0.0235	0.0312	 0.0274 (214,10,15,nored) 	 0.0125 	 9h12m 
uWaveGestureLibrary_X 	8	896	3582	315	0.2607	 0.2725 	 0.2635 (260,7,5) 	 0.2712 	 11h20m 
uWaveGestureLibrary_Y 	8	896	3582	315	0.3384	 0.3659 	 0.3534 (240,10,4) 	 0.3270 	 6h20m 
uWaveGestureLibrary_Z 	8	896	3582	315	0.3504	 0.3417 	 0.3400 (258,8,4) 	 0.3214 	 5h50m 
Diatom Size Reduction 	4	16	306	345	 0.0654 	 0.0327 	 0.0653 (174,15,18) 	 0.0625 	 3m00 
Medical Images 	10	381	760	99	0.3158 	 0.2631 	 0.4802 (29,9,5) 	 0.4225 	 13h23 
Words Synonyms 	25	267	638	270	 0.3824 	 0.3511 	 0.4404 (198,10,3) 	 0.3632 	 8h30 
FacesUCR 	14	200	2050	131	 0.2307 	 0.0951 	 0.0751 (38,8,3) 	 0.075 	 4h40 
Symbols	6	25	995	398	 0.1005 	 0.0503 	 0.1015 (112,12,5) 	 0.004 	 6m 
Starlight Curves	3	1000	8236	1024	 0.0632 	 0.093 	 0.0807 (172,15,11) 	 0.085 	 48h 
Italy Power Demand 	2	67	1029	24	 0.0949 	 0.0495 	 0.1166 (13,16,5) 	 0.02985 	 10s 
ElectricalDevices 	7	8953	7745	96	0.9132	0.9132	 0.3227 (17,13,6,nored) 	 	 
Non-Invasive Fetal ECG Thorax1	42	1800	1965	750	0.171	 0.209 	 0.2340 (44,15,14,exact) 	 0.1516 	 70h 
Non-Invasive Fetal ECG Thorax2	42	1800	1965	750	0.120	 0.135 	 0.1450 (44,15,14,exact) 	 0.3083 	 70h 
 	 	 	 	 	11.0139	9.6321 	 7.7154 	 	 
