"","cylinder0","bell0","cylinder1","bell2","funnel1","bell1","funnel0","funnel3","funnel2","cylinder2","cylinder3","bell3"
"bbba",0.3337610495,0.0000000000,0.3464102538,0.0000000000,0.1682682177,0.0000000000,0.0000000000,0.0000000000,0.1631101578,0.2055570126,0.3658463696,0.0000000000
"bbbb",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"bbbc",0.4108698153,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"bbca",0.1320826525,0.0531996838,0.0697137663,0.0709451356,0.0000000000,0.0551128778,0.0000000000,0.0000000000,0.0000000000,0.1202431441,0.0737011774,0.0823705382
"bcaa",0.0000000000,0.1441451439,0.0000000000,0.1922266459,0.0000000000,0.1493289647,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4390489681
"bcba",0.0000000000,0.0239217851,0.0000000000,0.0629516189,0.0871992581,0.0489943913,0.1023203263,0.0998107710,0.0844002356,0.0274567628,0.0962301825,0.0728629128
"bcbb",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3365364353,0.0000000000,0.0000000000,0.3855803623,0.3262203155,0.0000000000,0.0000000000,0.0000000000
"bcca",0.1755812919,0.1396026688,0.0000000000,0.1861036231,0.0000000000,0.1448419261,0.0000000000,0.0000000000,0.0000000000,0.0811703198,0.1927333971,0.2154043423
"caaa",0.0000000000,0.1818909203,0.0000000000,0.2425630207,0.0000000000,0.3725321873,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"caab",0.0000000000,0.0909454601,0.0000000000,0.2393284584,0.1682682177,0.1862660936,0.1982411960,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1408133652
"caba",0.0000000000,0.2350906041,0.0000000000,0.0000000000,0.0000000000,0.2435450515,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"cabb",0.0000000000,0.0909454601,0.0000000000,0.1212815103,0.3315127459,0.1862660936,0.3889997813,0.1927901811,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"cbaa",0.0000000000,0.0239217851,0.0313475121,0.0931954317,0.0442603307,0.0726625667,0.1023203263,0.1474000700,0.0429035834,0.0274567628,0.0000000000,0.0728629128
"cbab",0.0000000000,0.0531996838,0.0000000000,0.1399981735,0.0984305974,0.0551128778,0.1159636657,0.3278031757,0.0954133258,0.0000000000,0.0000000000,0.1620399109
"cbba",0.0000000000,0.0000000000,0.1191764707,0.0000000000,0.6440712766,0.0000000000,0.1982411960,0.5603832301,0.7653061925,0.1043846820,0.0000000000,0.0000000000
"cbbb",0.0301461724,0.0239217851,0.0313475121,0.0629516189,0.0871992581,0.0489943913,0.1506714032,0.0998107710,0.0429035834,0.0000000000,0.0000000000,0.0370387598
"cbca",0.0000000000,0.0000000000,0.4691378305,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6074176363,0.2519859901,0.0000000000
"ccaa",0.0000000000,0.0114164638,0.0149603275,0.0300431125,0.0416150874,0.0233821470,0.0248853922,0.0703454012,0.0402792783,0.0258037531,0.0311133713,0.0347731913
"ccba",0.0301461724,0.0000000000,0.0313475121,0.0319012100,0.1694129056,0.0247820724,0.1023203263,0.1935685786,0.1635219047,0.0540685667,0.0651942136,0.0000000000
"ccca",0.1816513422,0.0000000000,0.1888902370,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4813670879,0.5798527769,0.0000000000
